STFID Number,County,Census Tract,Population,% Whites,% African Americans,% Native Americans,% Asians,% Pacific Islanders,% Persons of Other Races,% Persons of More than One Race,Hispanics of Any Race,% Hispanics of Any Race,Minority Persons,% Minority Persons,Median Household Income,% Persons Below Poverty Level,Median Home Value,Owner-Occupied Units,Renter-Occupied Units,% Owner-Occupied Units,% Renter-Occupied Units
290370614001,Cass,614,2357,91.9,2.6,0.9,0.8,0,1,2.8,59,2.5,223,9.5,44935,14.5,110060,479,325,59.6,40.4
290950119003,Jackson,119,985,84.1,7.2,0.9,1.1,0.3,4.9,1.5,113,11.5,207,21,38676,14.9,88151,369,59,86.2,13.8
290950121002,Jackson,121,1811,85.1,4.7,0.6,1,0,5.5,2.9,186,10.3,322,17.8,40379,16.1,93087,621,175,78,22
290950163002,Jackson,163,1429,26.2,65.5,0.3,1.5,0,2.8,3.7,85,5.9,1084,75.9,31190,51.8,75109,233,407,36.4,63.6
290950176002,Jackson,176,1152,69.9,26.9,0.2,0.9,0,0.6,1.6,36,3.1,374,32.5,85610,4.5,189151,422,24,94.6,5.4
290950133012,Jackson,133.01,1509,64.4,25.3,0.6,0.7,0.1,4.3,4.5,130,8.6,588,39,25313,5.3,92065,251,553,31.2,68.8
290470218052,Clay,218.05,1389,97.6,0,0.1,0.4,0,0.3,1.6,51,3.7,77,5.5,89269,2.3,186757,416,37,91.8,8.2
290470216004,Clay,216,1390,93.7,1.2,0.8,0.9,0.4,0.1,2.7,34,2.4,107,7.7,66277,9.3,213194,492,59,89.3,10.7
290950137032,Jackson,137.03,1653,72.2,17.9,0.6,0.6,0,1.9,6.8,123,7.4,522,31.6,18706,23.8,124194,186,467,28.5,71.5
290950115006,Jackson,115,952,83.9,8.3,0.7,0.7,2.2,0.8,3.3,70,7.4,200,21,37821,29.5,62216,171,195,46.7,53.3
290950128042,Jackson,128.04,2143,65.7,28.1,0.5,0.6,0,1.7,3.3,120,5.6,807,37.7,50882,14.7,113793,750,102,88,12
290950046002,Jackson,46,1229,71.3,20.8,0.6,1.5,0,2.8,3,116,9.4,429,34.9,33370,18.3,155392,252,434,36.7,63.3
290950079004,Jackson,79,562,6.2,87.7,0,0,0,2.5,3.6,22,3.9,530,94.3,24297,40.8,66500,109,113,49.1,50.9
290470212065,Clay,212.06,1995,89.2,4.6,0.3,2.7,0,1.3,2,85,4.3,280,14,87500,2.2,185604,720,33,95.6,4.4
290470219002,Clay,219,2211,96.3,1,0.5,0.5,0.1,0.5,1.1,36,1.6,103,4.7,83862,1.5,218584,761,44,94.5,5.5
290950057004,Jackson,57,483,0.8,95,0,0.2,0,1,2.9,6,1.2,479,99.2,25407,20.7,61957,107,84,56,44
290470203001,Clay,203,697,84.4,2.7,0.3,2.6,0.3,4,5.7,73,10.5,136,19.5,41111,13.8,111413,174,192,47.5,52.5
290950134083,Jackson,134.08,766,79,12.8,0.1,2.5,0,2.2,3.4,62,8.1,193,25.2,60000,8.5,183684,317,39,89,11
290370611001,Cass,611,864,97.2,1,0.3,0.1,0,0,1.3,6,0.7,29,3.4,34796,7.1,96667,237,124,65.7,34.3
