,Population,Median Age,Census Tract,KCMO Portion or Not,% Minority Persons,% Persons 25 or Older with BA Degree or Higher,Median Household Income,% Persons Below Poverty Level,% Owner-Occupied Units,% Renter-Occupied Units
110,5581,30.8,130.03,KCMO,81.2,13.3,45629.0,24.8,56.3,43.7
111,2912,36.4,131.0,KCMO,74.4,22.4,34621.0,22.6,58.5,41.5
112,4230,26.5,132.03,KCMO,74.9,7.6,35028.0,34.1,53.7,46.3
113,2757,37.8,132.08,KCMO,83.4,11.3,29459.0,30.8,40.2,59.8
114,2598,31.0,132.1,KCMO,82.6,14.1,33750.0,18.8,51.6,48.4
115,0,0.0,134.01,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
116,2413,29.7,134.05,KCMO,42.8,35.0,41979.0,39.3,52.1,47.9
117,2518,56.6,134.07,KCMO,12.0,55.2,69139.0,3.3,79.6,20.4
118,5649,41.9,134.08,KCMO,33.9,38.5,54189.0,7.1,59.5,40.5
119,121,45.8,135.04,KCMO,0.0,11.1,91158.0,0.0,100.0,0.0
120,0,0.0,136.12,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
121,0,0.0,142.03,KCMO,0.0,0.0,32500.0,0.0,0.0,0.0
122,0,0.0,142.04,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
123,5269,39.3,143.0,KCMO,26.8,24.0,49566.0,8.2,67.0,33.0
124,9,76.9,9883.0,KCMO,0.0,0.0,18750.0,0.0,100.0,0.0
125,2660,41.2,144.0,KCMO,39.5,32.6,58326.0,6.1,61.8,38.2
126,0,0.0,145.01,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
127,0,0.0,145.02,KCMO,0.0,0.0,0.0,0.0,0.0,0.0
128,1944,32.1,152.0,KCMO,30.0,53.1,44077.0,12.8,20.2,79.8
129,3570,38.3,153.0,KCMO,84.9,16.1,25980.0,41.5,46.3,53.7
130,3432,24.9,154.0,KCMO,85.8,8.9,13920.0,68.6,12.3,87.7
131,890,33.3,155.0,KCMO,34.8,8.9,30554.0,46.2,57.9,42.1
